"edges","triangles","mean_triangles","density","mean_degree","components","mean_component_size","global_clustering_coefficient"
1047,7,0.021,0.002096096096096096,2.094,1,1000.0,0.01622874806800618
1030,5,0.015,0.002062062062062062,2.06,1,1000.0,0.012615643397813289
1037,5,0.015,0.002076076076076076,2.074,1,1000.0,0.012067578439259855
1032,7,0.021,0.002066066066066066,2.064,1,1000.0,0.017412935323383085
1029,6,0.018,0.00206006006006006,2.058,1,1000.0,0.015025041736227046
1046,5,0.015,0.002094094094094094,2.092,1,1000.0,0.011645962732919254
1026,2,0.006,0.0020540540540540542,2.052,1,1000.0,0.005076142131979695
1039,8,0.024,0.00208008008008008,2.078,1,1000.0,0.01929260450160772
1040,8,0.024,0.002082082082082082,2.08,1,1000.0,0.019154030327214685
1022,2,0.006,0.002046046046046046,2.044,1,1000.0,0.0051813471502590676
1037,1,0.003,0.002076076076076076,2.074,1,1000.0,0.0024410089503661514
1047,5,0.015,0.002096096096096096,2.094,1,1000.0,0.011682242990654205
1025,4,0.012,0.002052052052052052,2.05,1,1000.0,0.010178117048346057
1045,5,0.015,0.002092092092092092,2.09,1,1000.0,0.0117096018735363
1042,8,0.024,0.002086086086086086,2.084,1,1000.0,0.0189873417721519
1027,2,0.006,0.002056056056056056,2.054,1,1000.0,0.0050933786078098476
1024,5,0.015,0.00205005005005005,2.048,1,1000.0,0.012864493996569469
1040,9,0.027,0.002082082082082082,2.08,1,1000.0,0.02165196471531676
1030,1,0.003,0.002062062062062062,2.06,1,1000.0,0.002506265664160401
1035,6,0.018,0.002072072072072072,2.07,1,1000.0,0.014551333872271624
1048,11,0.033,0.0020980980980980983,2.096,1,1000.0,0.02507598784194529
1038,4,0.012,0.002078078078078078,2.076,1,1000.0,0.009669621273166801
1030,3,0.009,0.002062062062062062,2.06,1,1000.0,0.007575757575757576
1041,4,0.012,0.0020840840840840842,2.082,1,1000.0,0.009577015163607342
1039,4,0.012,0.00208008008008008,2.078,1,1000.0,0.009577015163607342
1049,14,0.042,0.0021001001001001002,2.098,1,1000.0,0.03201219512195122
1036,5,0.015,0.002074074074074074,2.072,1,1000.0,0.012417218543046357
1034,7,0.021,0.00207007007007007,2.068,1,1000.0,0.017114914425427872
1035,4,0.012,0.002072072072072072,2.07,1,1000.0,0.009779951100244499
1039,4,0.012,0.00208008008008008,2.078,1,1000.0,0.00964630225080386
