"edges","triangles","mean_triangles","density","mean_degree","components","mean_component_size","global_clustering_coefficient"
1304,34,0.102,0.0026106106106106104,2.608,1,1000.0,0.040380047505938245
1171,37,0.111,0.002344344344344344,2.342,1,1000.0,0.05495049504950495
1289,56,0.168,0.0025805805805805804,2.578,1,1000.0,0.06733466933867735
1211,33,0.099,0.0024244244244244245,2.422,1,1000.0,0.04598235020901068
1334,48,0.144,0.0026706706706706705,2.668,1,1000.0,0.054380664652567974
1265,55,0.165,0.0025325325325325325,2.53,1,1000.0,0.07030251384746485
1186,49,0.147,0.0023743743743743742,2.372,1,1000.0,0.07026768642447419
1231,40,0.12,0.0024644644644644643,2.462,1,1000.0,0.054570259208731244
1233,33,0.099,0.0024684684684684686,2.466,1,1000.0,0.044634806131650134
1307,87,0.261,0.0026166166166166167,2.614,1,1000.0,0.09984697781178271
1237,46,0.138,0.0024764764764764764,2.474,1,1000.0,0.06133333333333333
1207,49,0.147,0.0024164164164164163,2.414,1,1000.0,0.07003334921391138
1188,26,0.078,0.0023783783783783785,2.376,1,1000.0,0.03831041257367387
1239,50,0.15,0.0024804804804804807,2.478,1,1000.0,0.06451612903225806
1238,34,0.102,0.0024784784784784783,2.476,1,1000.0,0.044993383325981476
1212,65,0.195,0.0024264264264264265,2.424,1,1000.0,0.08863636363636364
1276,56,0.168,0.0025545545545545547,2.552,1,1000.0,0.06848756624541377
1178,42,0.126,0.0023583583583583582,2.356,1,1000.0,0.06256206554121152
1264,47,0.141,0.0025305305305305306,2.528,1,1000.0,0.06048906048906049
1289,86,0.258,0.0025805805805805804,2.578,1,1000.0,0.10250297973778308
1223,55,0.165,0.0024484484484484483,2.446,1,1000.0,0.0744920993227991
1220,55,0.165,0.0024424424424424425,2.44,1,1000.0,0.07356219349086046
1271,56,0.168,0.0025445445445445446,2.542,1,1000.0,0.07
1176,34,0.102,0.0023543543543543544,2.352,1,1000.0,0.05072103431128792
1215,39,0.117,0.0024324324324324323,2.43,1,1000.0,0.053694355208811384
1193,49,0.147,0.0023883883883883883,2.386,1,1000.0,0.06970128022759602
1229,67,0.201,0.0024604604604604604,2.458,1,1000.0,0.09009412819363515
1179,43,0.129,0.00236036036036036,2.358,1,1000.0,0.06317335945151811
1260,45,0.135,0.0025225225225225223,2.52,1,1000.0,0.056842105263157895
1217,27,0.081,0.0024364364364364366,2.434,1,1000.0,0.03847980997624703
1206,37,0.111,0.0024144144144144144,2.412,1,1000.0,0.05182072829131653
1303,46,0.138,0.0026086086086086085,2.606,1,1000.0,0.054352107128790864
1348,99,0.297,0.0026986986986986985,2.696,1,1000.0,0.11
1294,31,0.093,0.0025905905905905906,2.588,1,1000.0,0.037259615384615384
1219,37,0.111,0.0024404404404404405,2.438,1,1000.0,0.050385837494325916
1196,42,0.126,0.0023943943943943945,2.392,1,1000.0,0.059154929577464786
1207,61,0.183,0.0024164164164164163,2.414,1,1000.0,0.08628005657708628
1210,33,0.099,0.0024224224224224226,2.42,1,1000.0,0.04593967517401392
1254,55,0.165,0.0025105105105105107,2.508,1,1000.0,0.06921140939597316
1225,44,0.132,0.0024524524524524526,2.45,1,1000.0,0.059245960502693
1307,43,0.129,0.0026166166166166167,2.614,1,1000.0,0.04971098265895954
1310,32,0.096,0.0026226226226226225,2.62,1,1000.0,0.03697996918335902
1258,50,0.15,0.0025185185185185185,2.516,1,1000.0,0.0635862653666808
1253,51,0.153,0.0025085085085085083,2.506,1,1000.0,0.06591986212839293
1177,25,0.075,0.0023563563563563563,2.354,1,1000.0,0.036109773712084736
1327,52,0.156,0.002656656656656657,2.654,1,1000.0,0.05799256505576208
